ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	0.0000	8118	0.4114	0.0000	0	0	0	0.0000	-1	0.00
ceod000075	0.0271	7449	0.3946	1.3559	101	2	0	0.3663	0	0.23
ceod000084	0.0975	7249	0.3854	1.4899	108	3	4	0.3395	0	0.81
ceod000163	0.0326	6385	0.3649	3.2576	208	1	1	0.3812	0	0.18
ceod000194	0.2318	6100	0.3552	2.8361	173	9	5	0.3395	0	1.50
ceod000233	0.0690	5859	0.3439	1.8945	111	0	4	0.4035	0	0.51
ceod000276	0.0000	5652	0.3922	0.0000	0	0	0	0.0000	-1	0.00
ceod000295	0.0727	5560	0.3760	4.4245	246	3	1	0.3886	0	0.35
ceod000354	0.0000	5341	0.3960	0.0000	0	0	0	0.0000	-1	0.00
ceod000362	0.0569	5324	0.4040	2.1412	114	3	0	0.4752	0	0.40
ceod000387	0.0000	5240	0.3236	0.0000	0	0	0	0.0000	-1	0.00
ceod000405	0.0000	5169	0.3641	0.0000	0	0	0	0.0000	-1	0.00
ceod000408	0.0000	5166	0.3906	0.0000	0	0	0	0.0000	-1	0.00
ceod000449	0.0200	5046	0.3898	2.0016	101	0	1	0.4554	0	0.14
ceod000521	0.0624	4853	0.3841	3.4618	168	0	3	0.4455	0	0.36
ceod000537	0.0841	4803	0.4044	4.6846	225	4	0	0.4109	0	0.43
ceod000619	0.1313	4614	0.3966	2.3190	107	3	3	0.3828	0	0.87
ceod000635	0.0440	4593	0.3642	4.3980	202	1	1	0.3366	0	0.21
ceod000638	0.2422	4588	0.3933	7.4106	340	7	4	0.4482	0	1.25
ceod000661	0.0445	4536	0.3959	2.4471	111	0	2	0.4505	0	0.29
ceod000708	0.0000	4449	0.4042	0.0000	0	0	0	0.0000	-1	0.00
ceod000727	0.0229	4403	0.4208	2.2939	101	0	1	0.4257	0	0.15
ceod000751	0.0231	4366	0.4024	2.3133	101	1	0	0.3564	0	0.15
ceod000756	0.0000	4359	0.3561	0.0000	0	0	0	0.0000	-1	0.00
ceod000808	0.3068	4280	0.3908	5.8645	251	9	4	0.3922	0	1.69
ceod000835	0.0000	4240	0.3816	0.0000	0	0	0	0.0000	-1	0.00
ceod000849	0.0000	4220	0.3936	0.0000	0	0	0	0.0000	-1	0.00
ceod000873	0.0483	4181	0.3581	2.4157	101	0	2	0.3861	0	0.31
ceod000922	0.0000	4105	0.3927	0.0000	0	0	0	0.0000	-1	0.00
