ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	0.0000	8118	0.4114	0.0000	0	0	0	0.0000	-1	0.00
ceod000075	0.0407	7449	0.3946	2.7118	202	0	3	0.4224	0	0.26
ceod000084	0.0418	7249	0.3854	2.7866	202	2	1	0.3663	0	0.26
ceod000163	0.0158	6385	0.3649	1.5818	101	1	0	0.3465	0	0.12
ceod000194	0.0993	6100	0.3552	3.7705	230	3	3	0.3201	0	0.62
ceod000233	0.1724	5859	0.3439	3.9427	231	2	8	0.3990	0	1.01
ceod000276	0.0000	5652	0.3922	0.0000	0	0	0	0.0000	-1	0.00
ceod000295	0.0000	5560	0.3760	0.0000	0	0	0	0.0000	-1	0.00
ceod000354	0.0000	5341	0.3960	0.0000	0	0	0	0.0000	-1	0.00
ceod000362	0.0190	5324	0.4040	1.8971	101	0	1	0.4752	0	0.14
ceod000387	0.0000	5240	0.3236	0.0000	0	0	0	0.0000	-1	0.00
ceod000405	0.0000	5169	0.3641	0.0000	0	0	0	0.0000	-1	0.00
ceod000408	0.0000	5166	0.3906	0.0000	0	0	0	0.0000	-1	0.00
ceod000449	0.0000	5046	0.3898	0.0000	0	0	0	0.0000	-1	0.00
ceod000521	0.0000	4853	0.3841	0.0000	0	0	0	0.0000	-1	0.00
ceod000537	0.0000	4803	0.4044	0.0000	0	0	0	0.0000	-1	0.00
ceod000619	0.0000	4614	0.3966	0.0000	0	0	0	0.0000	-1	0.00
ceod000635	0.0880	4593	0.3642	2.5691	118	1	3	0.3738	0	0.56
ceod000638	0.2201	4588	0.3933	5.1439	236	5	5	0.4733	0	1.22
ceod000661	0.0000	4536	0.3959	0.0000	0	0	0	0.0000	-1	0.00
ceod000708	0.0000	4449	0.4042	0.0000	0	0	0	0.0000	-1	0.00
ceod000727	0.0000	4403	0.4208	0.0000	0	0	0	0.0000	-1	0.00
ceod000751	0.0000	4366	0.4024	0.0000	0	0	0	0.0000	-1	0.00
ceod000756	0.0000	4359	0.3561	0.0000	0	0	0	0.0000	-1	0.00
ceod000808	0.1423	4280	0.3908	3.1075	133	5	1	0.3878	0	0.85
ceod000835	0.0000	4240	0.3816	0.0000	0	0	0	0.0000	-1	0.00
ceod000849	0.0000	4220	0.3936	0.0000	0	0	0	0.0000	-1	0.00
ceod000873	0.0242	4181	0.3581	2.4157	101	1	0	0.3465	0	0.15
ceod000922	0.0000	4105	0.3927	0.0000	0	0	0	0.0000	-1	0.00
ceod001012	0.0000	3995	0.4165	0.0000	0	0	0	0.0000	-1	0.00
ceod001099	0.0000	3902	0.3756	0.0000	0	0	0	0.0000	-1	0.00
ceod001120	0.0521	3878	0.3731	2.6044	101	2	0	0.4158	0	0.32
ceod001154	0.0263	3838	0.4140	2.6316	101	1	0	0.4059	0	0.16
ceod001177	0.0000	3814	0.3726	0.0000	0	0	0	0.0000	-1	0.00
ceod001201	0.0000	3794	0.4192	0.0000	0	0	0	0.0000	-1	0.00
ceod001207	0.0000	3787	0.4203	0.0000	0	0	0	0.0000	-1	0.00
ceod001275	0.5160	3725	0.3667	15.1409	564	11	8	0.3830	0	2.14
ceod001285	0.0000	3717	0.3737	0.0000	0	0	0	0.0000	-1	0.00
ceod001286	0.0543	3717	0.4305	2.7441	102	1	1	0.4505	0	0.32
ceod001296	0.0817	3707	0.3621	2.8055	104	2	1	0.4092	0	0.49
ceod001300	0.0818	3703	0.3943	2.9976	111	1	2	0.4323	0	0.48
ceod001315	0.0000	3683	0.3971	0.0000	0	0	0	0.0000	-1	0.00
ceod001329	0.0275	3671	0.3905	2.7513	101	0	1	0.4851	0	0.16
