ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.2318	8118	0.4114	6.4302	522	51	48	0.4153	0	6.87
ceod000075	0.7311	7449	0.3946	6.3767	475	23	31	0.3586	0	3.29
ceod000084	1.4082	7249	0.3854	12.4017	899	48	53	0.4166	0	6.36
ceod000163	1.9452	6385	0.3649	21.3782	1365	79	42	0.3676	0	4.73
ceod000194	1.3989	6100	0.3552	12.7049	775	42	42	0.3716	0	4.90
ceod000233	1.2770	5859	0.3439	16.3680	959	35	39	0.3923	0	4.04
ceod000276	0.3395	5652	0.3922	2.5124	142	13	6	0.4502	0	2.31
ceod000295	0.7306	5560	0.3760	14.0827	783	28	8	0.4216	0	3.89
ceod000354	0.4917	5341	0.3960	6.2348	333	14	12	0.4082	0	2.49
ceod000362	0.7141	5324	0.4040	8.1705	435	23	15	0.3499	0	3.68
ceod000387	1.3307	5240	0.3236	9.2748	486	27	42	0.3972	0	4.71
ceod000405	0.9865	5169	0.3641	7.6417	395	27	24	0.3541	0	4.42
ceod000408	0.8991	5166	0.3906	8.2269	425	24	22	0.3678	0	3.65
ceod000449	2.5719	5046	0.3898	5.1328	259	63	65	0.4775	0	13.21
ceod000521	0.9297	4853	0.3841	9.1284	443	26	19	0.3333	0	3.97
ceod000537	1.0304	4803	0.4044	13.0960	629	36	13	0.4502	0	3.80
ceod000619	0.4228	4614	0.3966	11.8119	545	13	5	0.3971	0	1.52
ceod000635	1.9961	4593	0.3642	13.0851	601	51	40	0.3890	0	7.18
ceod000638	0.7258	4588	0.3933	14.3200	657	22	11	0.4632	0	2.35
ceod000661	2.2037	4536	0.3959	11.5520	524	49	51	0.3957	0	9.25
ceod000708	0.3621	4449	0.4042	5.7766	257	10	6	0.3492	0	1.81
ceod000727	0.5049	4403	0.4208	12.6959	559	7	15	0.4091	0	1.76
ceod000751	2.6837	4366	0.4024	18.1860	794	44	72	0.4194	0	9.43
ceod000756	0.2317	4359	0.3561	2.8447	124	7	3	0.3861	0	1.43
ceod000808	2.9241	4280	0.3908	22.9673	983	46	78	0.3939	0	7.42
ceod000835	0.4524	4240	0.3816	18.6321	790	17	2	0.3814	0	1.27
ceod000849	0.8531	4220	0.3936	5.8531	247	17	19	0.4268	0	4.17
ceod000873	0.0966	4181	0.3581	2.6309	110	2	2	0.3787	0	0.60
ceod000922	0.5167	4105	0.3927	11.2546	462	13	8	0.3503	0	2.52
ceod001012	3.6658	3995	0.4165	11.5394	461	92	53	0.3881	0	15.04
ceod001099	1.1302	3902	0.3756	17.4782	682	16	14	0.3719	0	2.89
ceod001120	0.3646	3878	0.3731	9.5152	369	3	11	0.4066	0	1.26
ceod001154	0.1053	3838	0.4140	3.0485	117	1	3	0.3960	0	0.62
ceod001177	0.7942	3814	0.3726	20.9491	799	13	17	0.3993	0	2.18
ceod001201	1.7180	3794	0.4192	15.8144	600	48	17	0.4350	0	7.27
ceod001207	4.9607	3787	0.4203	8.0011	303	94	92	0.5677	0	22.02
ceod001275	6.7748	3725	0.3667	45.5034	1695	144	104	0.4050	0	13.21
ceod001285	2.0113	3717	0.3737	25.4775	947	37	37	0.3266	0	6.01
ceod001286	0.4891	3717	0.4305	6.9949	260	10	8	0.4395	0	2.31
ceod001296	1.5886	3707	0.3621	10.9253	405	34	26	0.3460	0	6.25
ceod001300	0.5455	3703	0.3943	7.4804	277	2	18	0.4453	0	2.38
ceod001315	0.4662	3683	0.3971	7.3038	269	6	11	0.3104	0	1.99
ceod001329	0.8810	3671	0.3905	8.4173	309	17	15	0.3239	0	3.60
ceod001349	0.6041	3645	0.3928	11.7695	429	12	10	0.4109	0	2.43
ceod001352	3.1737	3644	0.3793	8.2602	301	56	59	0.3574	0	12.54
ceod001442	1.2935	3578	0.3907	5.3941	193	25	21	0.4434	0	6.48
ceod001485	0.6519	3542	0.3925	9.0909	322	13	10	0.3508	0	3.14
ceod001491	2.1490	3537	0.3782	9.9802	353	42	33	0.3530	0	8.81
ceod001507	0.3729	3521	0.3771	3.4081	120	12	1	0.3877	0	2.11
ceod001512	1.9727	3519	0.3970	16.0841	566	32	37	0.3330	0	7.28
ceod001562	2.1748	3478	0.3930	20.4715	712	31	44	0.3792	0	6.38
ceod001598	1.2684	3454	0.3628	7.9618	275	21	22	0.3114	0	5.10
ceod001626	0.1467	3435	0.3681	6.7831	233	2	3	0.4277	0	0.64
ceod001627	1.8203	3434	0.3620	10.2213	351	33	29	0.3764	0	7.05
ceod001639	4.0671	3426	0.3914	10.2160	350	71	67	0.4762	0	21.13
ceod001662	8.0648	3413	0.4129	17.4333	595	132	141	0.4468	0	21.49
ceod001690	0.7414	3395	0.3779	17.4080	591	14	11	0.3819	0	2.03
ceod001697	1.1312	3393	0.4162	17.5656	596	24	14	0.4143	0	2.90
ceod001719	2.0234	3381	0.3853	14.2266	481	29	39	0.3646	0	7.26
ceod001738	0.3375	3366	0.3919	7.7837	262	8	3	0.3546	0	1.56
ceod001762	1.5375	3351	0.3941	13.6676	458	34	17	0.3537	0	6.35
ceod001795	1.9405	3326	0.3821	13.4997	449	35	30	0.3948	0	7.59
ceod001807	5.9666	3322	0.3889	17.4594	580	103	94	0.4127	0	21.40
ceod001816	0.7248	3318	0.4057	8.5292	283	12	12	0.4224	0	2.94
ceod001819	1.7639	3317	0.3920	18.0283	598	22	36	0.4691	0	6.16
ceod001821	1.0042	3315	0.3870	19.0649	632	18	15	0.3528	0	2.73
ceod001849	0.7347	3295	0.3681	9.4689	312	8	16	0.5083	0	2.94
ceod001858	4.8166	3287	0.3973	37.1768	1222	79	78	0.4131	0	9.85
ceod001866	2.5246	3279	0.3803	30.1921	990	61	21	0.3869	0	5.13
ceod001885	1.6492	3267	0.3765	21.5794	705	31	22	0.3165	0	5.80
ceod001922	1.3690	3247	0.3650	14.1669	460	19	25	0.3668	0	3.97
ceod001924	1.0576	3247	0.3502	12.6578	411	17	17	0.3567	0	3.36
ceod001930	3.3791	3242	0.3869	45.8976	1488	64	45	0.4151	0	7.58
ceod001966	2.4091	3224	0.4164	27.3263	881	46	31	0.4091	0	6.19
ceod001970	1.2481	3221	0.3636	11.4561	369	20	20	0.4381	0	4.09
ceod001971	1.1463	3219	0.3871	19.0432	613	13	24	0.3495	0	2.83
ceod001993	3.7819	3205	0.3705	9.5788	307	89	32	0.4053	0	17.02
ceod002053	2.1087	3166	0.3765	15.4138	488	34	33	0.4046	0	6.50
ceod002070	1.8797	3158	0.4056	59.3730	1875	10	19	0.4131	1	2.20
ceod002110	2.0941	3135	0.4130	18.5646	582	35	30	0.3479	0	7.42
ceod002116	3.5406	3130	0.3690	28.2109	883	65	45	0.3725	0	9.71
ceod002137	0.9359	3121	0.4058	28.4204	887	11	18	0.3950	0	1.82
ceod002203	0.5938	3085	0.3510	7.1313	220	15	3	0.3410	0	2.42
ceod002208	3.2770	3083	0.3867	15.6990	484	50	50	0.3377	0	11.52
ceod002238	3.5553	3067	0.3779	42.3215	1298	42	66	0.3763	0	7.46
ceod002245	3.0000	3064	0.3981	27.4478	841	53	38	0.4282	0	6.55
ceod002257	0.3674	3054	0.3795	10.5763	323	5	6	0.3195	0	1.24
ceod002260	0.8106	3051	0.3714	10.8161	330	11	14	0.4610	0	2.58
ceod002269	0.3901	3048	0.3907	8.0709	246	7	5	0.2855	0	1.57
ceod002277	0.6503	3043	0.3381	6.2767	191	6	14	0.4307	0	3.00
ceod002306	2.7185	3027	0.3848	34.2914	1038	46	35	0.4183	0	5.62
ceod002347	2.4154	3009	0.3961	19.3087	581	34	38	0.3652	0	8.70
ceod002352	1.5975	3004	0.3758	27.0639	813	35	13	0.3657	0	3.72
ceod002372	2.3963	2995	0.4311	15.5927	467	24	46	0.4115	0	8.35
ceod002389	0.3384	2985	0.3810	10.4188	311	8	2	0.3396	0	1.30
ceod002390	2.5283	2985	0.3886	30.9883	925	51	24	0.3927	0	5.35
ceod002429	3.9299	2968	0.3679	45.5863	1353	60	52	0.3716	0	8.27
ceod002488	0.1715	2938	0.3857	7.0796	208	2	3	0.3743	0	0.73
