ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.0326	8118	0.4114	6.5657	533	42	41	0.4179	0	4.99
ceod000075	0.7051	7449	0.3946	10.0148	746	19	33	0.3660	0	3.46
ceod000084	1.2679	7249	0.3854	18.1818	1318	28	63	0.4214	0	4.56
ceod000163	3.4056	6385	0.3649	30.6969	1960	95	116	0.3446	0	7.40
ceod000194	1.2457	6100	0.3552	19.7377	1204	28	47	0.3816	0	3.68
ceod000233	3.4997	5859	0.3439	38.1464	2235	48	135	0.3691	0	7.15
ceod000276	0.1608	5652	0.3922	2.7601	156	4	5	0.4510	0	1.06
ceod000295	0.6903	5560	0.3760	13.0036	723	13	25	0.3762	0	2.75
ceod000354	0.5551	5341	0.3960	13.4806	720	9	20	0.4206	0	1.94
ceod000362	0.7973	5324	0.4040	8.7904	468	7	35	0.3805	0	3.09
ceod000387	1.6615	5240	0.3236	11.8893	623	30	56	0.3947	0	5.67
ceod000405	1.3579	5169	0.3641	21.4548	1109	16	54	0.3451	0	4.57
ceod000408	0.8583	5166	0.3906	13.0856	676	18	26	0.3717	0	3.33
ceod000449	1.7214	5046	0.3898	8.3234	420	31	55	0.4698	0	8.10
ceod000521	1.6777	4853	0.3841	19.6579	954	33	48	0.3416	0	5.78
ceod000537	1.0514	4803	0.4044	18.0304	866	40	10	0.4362	0	3.54
ceod000619	1.1285	4614	0.3966	21.5431	994	16	33	0.4051	0	2.99
ceod000635	2.3201	4593	0.3642	28.5217	1310	51	54	0.3589	0	5.82
ceod000638	0.3963	4588	0.3933	22.2755	1022	9	9	0.4092	0	0.89
ceod000661	2.4998	4536	0.3959	29.2328	1326	37	76	0.3928	0	7.30
ceod000708	0.7404	4449	0.4042	7.5747	337	11	22	0.3087	0	3.00
ceod000727	0.5705	4403	0.4208	12.3098	542	15	10	0.3921	0	1.99
ceod000751	3.3431	4366	0.4024	18.1860	794	68	72	0.4100	0	9.53
ceod000756	0.2317	4359	0.3561	5.1617	225	5	5	0.3792	0	1.30
ceod000808	2.2418	4280	0.3908	26.6822	1142	40	55	0.3727	0	4.42
ceod000835	1.0717	4240	0.3816	31.8396	1350	19	26	0.4033	0	1.96
ceod000849	0.9052	4220	0.3936	12.5829	531	12	26	0.4046	0	3.15
ceod000873	0.2657	4181	0.3581	14.3028	598	7	4	0.3429	0	0.78
ceod000922	0.4417	4105	0.3927	13.3496	548	17	1	0.3190	0	1.38
ceod001012	2.8100	3995	0.4165	14.2929	571	35	75	0.3828	0	9.25
ceod001099	1.4475	3902	0.3756	28.1394	1098	20	31	0.3374	0	4.07
ceod001120	0.2865	3878	0.3731	10.4951	407	1	10	0.3969	0	1.08
ceod001154	0.0000	3838	0.4140	0.0000	0	0	0	0.0000	-1	0.00
ceod001177	1.5464	3814	0.3726	47.2470	1802	21	37	0.3642	0	2.67
ceod001201	1.3569	3794	0.4192	24.4597	928	33	18	0.3898	0	3.71
ceod001207	1.7336	3787	0.4203	11.8564	449	28	37	0.5741	0	6.57
ceod001275	8.6223	3725	0.3667	70.9799	2644	181	137	0.3904	5	9.93
ceod001285	3.1447	3717	0.3737	28.6790	1066	37	79	0.3708	0	6.64
ceod001286	0.1087	3717	0.4305	3.4974	130	0	4	0.4356	0	0.61
ceod001296	1.7373	3707	0.3621	26.0318	965	18	46	0.3552	0	4.60
ceod001300	0.9803	3703	0.3943	12.1793	451	15	21	0.4340	0	3.98
ceod001315	0.7418	3683	0.3971	15.1778	559	5	22	0.3473	0	2.13
ceod001329	1.8984	3671	0.3905	12.3400	453	13	56	0.2982	0	6.45
ceod001349	1.3959	3645	0.3928	26.3649	961	14	37	0.4034	0	3.66
ceod001352	3.6103	3644	0.3793	20.8013	758	33	98	0.3588	0	11.39
ceod001442	1.2982	3578	0.3907	5.3661	192	19	27	0.4531	0	6.40
ceod001485	0.7372	3542	0.3925	12.2812	435	6	20	0.3515	0	2.81
ceod001491	2.0071	3537	0.3782	19.5646	692	30	40	0.3539	0	7.37
ceod001507	0.1147	3521	0.3771	3.2093	113	1	3	0.3861	0	0.65
ceod001512	1.8426	3519	0.3970	30.2643	1065	31	29	0.3561	0	4.44
ceod001562	2.2050	3478	0.3930	32.1737	1119	43	33	0.3646	0	5.22
ceod001598	1.4247	3454	0.3628	15.1998	525	19	30	0.3326	0	4.73
ceod001626	1.1956	3435	0.3681	14.7307	506	14	27	0.3840	0	3.47
ceod001627	1.9575	3434	0.3620	15.4048	529	26	41	0.3652	0	6.55
ceod001639	1.6208	3426	0.3914	11.5587	396	19	36	0.4578	0	7.72
ceod001662	5.3636	3413	0.4129	38.5878	1317	47	132	0.4374	0	11.98
ceod001690	0.6789	3395	0.3779	20.2062	686	7	16	0.4141	0	2.01
ceod001697	1.4586	3393	0.4162	40.4657	1373	27	22	0.4126	0	2.65
ceod001719	4.0979	3381	0.3853	21.4729	726	33	105	0.3600	0	12.51
ceod001738	0.2490	3366	0.3919	13.1610	443	5	3	0.3700	0	0.68
ceod001762	2.8033	3351	0.3941	18.6810	626	20	73	0.3411	0	11.59
ceod001795	0.9032	3326	0.3821	15.4841	515	6	24	0.3647	0	2.71
ceod001807	6.6665	3322	0.3889	30.2228	1004	68	152	0.4201	0	18.08
ceod001816	1.2764	3318	0.4057	21.7300	721	6	34	0.4344	0	3.94
ceod001819	3.7052	3317	0.3920	42.3877	1406	39	83	0.4455	0	9.29
ceod001821	2.9819	3315	0.3870	37.1342	1231	39	59	0.3509	0	5.73
ceod001849	0.2759	3295	0.3681	8.8012	290	1	8	0.4752	0	0.99
ceod001858	6.4256	3287	0.3973	51.5972	1696	105	104	0.4190	1	11.55
ceod001866	1.1735	3279	0.3803	29.5822	970	19	19	0.4057	0	2.74
ceod001885	2.4484	3267	0.3765	25.4974	833	28	51	0.3153	0	6.98
ceod001922	1.5848	3247	0.3650	24.3917	792	30	21	0.3642	0	3.79
ceod001924	0.9390	3247	0.3502	16.3536	531	13	17	0.3371	0	2.38
ceod001930	7.8927	3242	0.3869	80.0432	2595	113	120	0.4167	4	10.19
ceod001966	2.3809	3224	0.4164	31.2965	1009	42	34	0.4147	0	5.75
ceod001970	1.0428	3221	0.3636	31.2325	1006	5	28	0.3837	0	1.84
ceod001971	2.8316	3219	0.3871	57.0053	1835	26	43	0.3302	2	4.03
ceod001993	3.0306	3205	0.3705	13.0421	418	40	58	0.3918	0	12.15
ceod002053	2.2824	3166	0.3765	26.3740	835	36	36	0.3566	0	5.39
ceod002070	0.8626	3158	0.4056	41.7353	1318	13	14	0.4096	0	1.30
ceod002110	1.6753	3135	0.4130	14.3222	449	15	37	0.3431	0	5.45
ceod002116	3.2901	3130	0.3690	47.1885	1477	40	62	0.3699	0	5.49
ceod002137	1.6181	3121	0.4058	29.7020	927	24	26	0.3788	0	3.82
ceod002203	0.4590	3085	0.3510	6.4506	199	7	7	0.3635	0	2.02
ceod002208	3.5157	3083	0.3867	30.3600	936	44	61	0.3318	0	10.48
ceod002238	3.4901	3067	0.3779	54.4832	1671	53	53	0.3833	1	5.20
ceod002245	3.2954	3064	0.3981	34.7911	1066	45	55	0.4171	0	7.63
ceod002257	1.0272	3054	0.3795	18.2711	558	18	13	0.3276	0	2.87
ceod002260	0.8820	3051	0.3714	14.0610	429	6	21	0.4569	0	2.79
ceod002269	0.9019	3048	0.3907	10.3675	316	4	23	0.3216	0	2.91
ceod002277	1.1564	3043	0.3381	15.0838	459	6	29	0.3658	0	3.03
