ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.4432	8118	0.4114	6.8983	560	27	89	0.4159	0	8.10
ceod000075	0.8000	7449	0.3946	7.5581	563	23	36	0.3693	0	3.53
ceod000084	1.5890	7249	0.3854	12.8018	928	40	74	0.4201	0	7.35
ceod000163	2.1067	6385	0.3649	20.7987	1328	40	91	0.3616	0	6.24
ceod000194	1.5811	6100	0.3552	13.7049	836	46	49	0.3730	0	5.04
ceod000233	2.3936	5859	0.3439	22.4270	1314	42	84	0.3803	0	6.56
ceod000276	0.2502	5652	0.3922	2.6008	147	5	9	0.4618	0	1.70
ceod000295	0.6721	5560	0.3760	10.2698	571	9	28	0.4163	0	3.98
ceod000354	0.3404	5341	0.3960	7.2084	385	4	14	0.4285	0	1.74
ceod000362	0.7894	5324	0.4040	7.1563	381	6	35	0.3521	0	3.52
ceod000387	1.5046	5240	0.3236	9.6756	507	31	47	0.4038	0	5.48
ceod000405	1.0499	5169	0.3641	9.4989	491	18	36	0.3526	0	4.59
ceod000408	0.8192	5166	0.3906	9.6787	500	15	27	0.3751	0	3.28
ceod000449	2.9558	5046	0.3898	5.3508	270	37	111	0.4655	0	14.74
ceod000521	1.5347	4853	0.3841	9.5611	464	29	45	0.3378	0	6.28
ceod000537	1.1776	4803	0.4044	9.9521	478	25	31	0.4376	0	4.82
ceod000619	0.9653	4614	0.3966	19.3975	895	18	23	0.4038	0	2.59
ceod000635	1.5265	4593	0.3642	20.8578	958	31	38	0.3764	0	4.86
ceod000638	0.3742	4588	0.3933	14.0366	644	1	16	0.4485	0	1.10
ceod000661	1.2392	4536	0.3959	12.1914	553	19	37	0.3966	0	4.87
ceod000708	0.7892	4449	0.4042	8.8559	394	8	27	0.3259	0	3.24
ceod000727	0.1833	4403	0.4208	8.5169	375	0	8	0.3478	0	0.66
ceod000751	2.2902	4366	0.4024	15.6665	684	31	68	0.4239	0	8.97
ceod000756	0.1854	4359	0.3561	2.8447	124	3	5	0.3936	0	1.15
ceod000808	2.1946	4280	0.3908	22.9907	984	58	35	0.3785	0	5.05
ceod000835	1.1196	4240	0.3816	21.5566	914	20	27	0.4236	0	3.13
ceod000849	0.5955	4220	0.3936	7.0853	299	3	22	0.4127	0	2.32
ceod000873	0.3140	4181	0.3581	7.8211	327	11	2	0.4052	0	1.38
ceod000922	0.2943	4105	0.3927	12.9354	531	9	3	0.3168	0	0.99
ceod001012	2.6320	3995	0.4165	11.4894	459	26	78	0.3820	0	11.13
ceod001099	1.7570	3902	0.3756	23.2445	907	19	44	0.3456	0	5.39
ceod001120	0.7032	3878	0.3731	10.5982	411	8	19	0.3971	0	2.41
ceod001154	0.0000	3838	0.4140	0.0000	0	0	0	0.0000	-1	0.00
ceod001177	1.3506	3814	0.3726	23.9119	912	14	37	0.3904	0	3.20
ceod001201	1.9900	3794	0.4192	19.7417	749	44	31	0.4409	0	7.81
ceod001207	3.8672	3787	0.4203	11.2754	427	65	80	0.5850	0	16.25
ceod001275	8.9009	3725	0.3667	65.1275	2426	165	163	0.4057	2	15.08
ceod001285	3.4477	3717	0.3737	29.4323	1094	33	94	0.3512	0	8.21
ceod001286	0.3804	3717	0.4305	3.8472	143	7	7	0.4385	0	2.09
ceod001296	1.1697	3707	0.3621	17.3725	644	11	32	0.3435	0	4.58
ceod001300	1.3365	3703	0.3943	9.2358	342	11	38	0.4391	0	5.93
ceod001315	0.5487	3683	0.3971	8.9872	331	4	16	0.3252	0	2.07
ceod001329	1.4151	3671	0.3905	10.8962	400	10	35	0.3127	0	5.27
ceod001349	1.3937	3645	0.3928	14.8971	543	10	41	0.4052	0	4.43
ceod001352	3.6471	3644	0.3793	13.6663	498	35	97	0.3588	0	14.15
ceod001442	1.2677	3578	0.3907	5.3941	193	11	34	0.4541	0	6.01
ceod001485	0.9944	3542	0.3925	9.5709	339	11	24	0.3576	0	3.62
ceod001491	1.9488	3537	0.3782	13.1467	465	15	53	0.3353	0	7.16
ceod001507	0.1721	3521	0.3771	3.3513	118	3	3	0.3944	0	0.96
ceod001512	1.4453	3519	0.3970	18.3007	644	7	42	0.3449	0	5.56
ceod001562	2.5555	3478	0.3930	21.1903	737	48	40	0.3662	0	7.68
ceod001598	1.8691	3454	0.3628	9.6120	332	13	51	0.3472	0	6.84
ceod001626	1.0885	3435	0.3681	11.7904	405	10	27	0.3642	0	4.26
ceod001627	1.2871	3434	0.3620	10.3960	357	10	34	0.3586	0	4.80
ceod001639	2.7119	3426	0.3914	7.3555	252	27	65	0.4686	0	14.12
ceod001662	6.1459	3413	0.4129	19.8359	677	64	144	0.4530	0	18.00
ceod001690	0.7420	3395	0.3779	21.9735	746	11	14	0.3735	0	1.88
ceod001697	0.8037	3393	0.4162	21.9275	744	5	22	0.4272	0	2.47
ceod001719	2.8592	3381	0.3853	14.4632	489	21	75	0.3669	0	9.87
