ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.0824	8118	0.4114	6.9229	562	31	56	0.4164	0	6.30
ceod000075	0.5833	7449	0.3946	7.4507	555	17	26	0.3592	0	2.95
ceod000084	0.6547	7249	0.3854	11.1740	810	17	30	0.4243	0	2.85
ceod000163	2.2722	6385	0.3649	21.2216	1355	43	92	0.3593	0	6.00
ceod000194	1.0607	6100	0.3552	16.3279	996	19	45	0.3781	0	3.77
ceod000233	1.8143	5859	0.3439	20.5837	1206	31	71	0.3850	0	6.25
ceod000276	0.1608	5652	0.3922	2.4770	140	2	7	0.4499	0	1.10
ceod000295	1.0378	5560	0.3760	18.9748	1055	29	24	0.4134	0	5.14
ceod000354	0.6240	5341	0.3960	11.1402	595	10	23	0.4263	0	2.76
ceod000362	0.5898	5324	0.4040	7.6446	407	8	23	0.3673	0	2.60
ceod000387	1.4880	5240	0.3236	12.5573	658	35	42	0.4077	0	5.73
ceod000405	0.8197	5169	0.3641	11.3755	588	18	24	0.3508	0	3.55
ceod000408	0.4696	5166	0.3906	7.5494	390	17	7	0.3853	0	1.93
ceod000449	2.9623	5046	0.3898	5.0733	256	42	106	0.4813	0	14.89
ceod000521	1.2565	4853	0.3841	9.4581	459	17	38	0.3452	0	4.92
ceod000537	1.0935	4803	0.4044	11.1389	535	40	12	0.4379	0	3.80
ceod000619	1.2852	4614	0.3966	16.4933	761	18	33	0.4042	0	3.74
ceod000635	2.1398	4593	0.3642	15.0664	692	47	51	0.3924	0	7.69
ceod000638	0.8119	4588	0.3933	16.1508	741	6	31	0.4664	0	2.38
ceod000661	1.4987	4536	0.3959	17.2178	781	25	43	0.3931	0	5.73
ceod000708	0.9434	4449	0.4042	9.5977	427	16	26	0.3199	0	3.77
ceod000727	0.4331	4403	0.4208	8.4942	374	10	9	0.4153	0	1.61
ceod000751	3.3781	4366	0.4024	18.1402	792	57	89	0.4218	0	10.22
ceod000756	0.2317	4359	0.3561	2.8676	125	3	7	0.3861	0	1.45
ceod000808	2.5477	4280	0.3908	24.7430	1059	60	48	0.3783	0	6.11
ceod000835	0.6667	4240	0.3816	20.3538	863	16	12	0.3989	0	1.87
ceod000849	0.8339	4220	0.3936	6.6114	279	12	23	0.4156	0	3.76
ceod000873	0.2899	4181	0.3581	6.6013	276	6	6	0.3804	0	1.44
ceod000922	0.3194	4105	0.3927	12.3508	507	6	7	0.3229	0	1.02
ceod001012	2.4886	3995	0.4165	9.4869	379	26	72	0.3858	0	9.09
ceod001099	1.4882	3902	0.3756	22.5782	881	13	35	0.3663	0	3.76
ceod001120	0.6509	3878	0.3731	13.9247	540	12	13	0.4067	0	2.34
ceod001154	0.0263	3838	0.4140	2.6316	101	0	1	0.3663	0	0.16
ceod001177	0.9798	3814	0.3726	23.1778	884	8	29	0.3803	0	2.43
ceod001201	1.9143	3794	0.4192	16.3679	621	37	35	0.4497	0	8.27
