ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.1322	8118	0.4114	6.5041	528	34	57	0.4260	0	6.56
ceod000075	0.5817	7449	0.3946	12.7534	950	27	16	0.3539	0	2.01
ceod000084	1.8685	7249	0.3854	19.5751	1419	39	95	0.4260	0	7.66
ceod000163	2.1273	6385	0.3649	23.5865	1506	61	71	0.3599	0	4.84
ceod000194	1.2303	6100	0.3552	16.2951	994	20	54	0.3772	0	3.98
ceod000233	2.3217	5859	0.3439	28.0082	1641	33	95	0.3786	0	5.85
ceod000276	0.1430	5652	0.3922	4.2817	242	1	7	0.4431	0	0.85
ceod000295	0.7631	5560	0.3760	8.3453	464	10	32	0.4189	0	4.63
ceod000354	0.8321	5341	0.3960	14.0798	752	11	33	0.4246	0	2.89
ceod000362	0.5468	5324	0.4040	6.4801	345	5	24	0.3607	0	2.59
ceod000387	1.5821	5240	0.3236	12.9771	680	35	47	0.4072	0	5.78
ceod000405	1.3030	5169	0.3641	17.9145	926	12	54	0.3371	0	5.00
ceod000408	0.6452	5166	0.3906	11.4983	594	19	14	0.3669	0	2.22
ceod000449	2.7701	5046	0.3898	7.1344	360	66	72	0.4800	0	14.30
ceod000521	1.4884	4853	0.3841	11.3744	552	28	44	0.3414	0	5.60
ceod000537	1.0518	4803	0.4044	15.7402	756	41	9	0.4318	0	3.35
ceod000619	0.5388	4614	0.3966	14.3260	661	9	16	0.4186	0	1.60
ceod000635	1.4137	4593	0.3642	18.4193	846	24	41	0.3796	0	4.58
ceod000638	0.5503	4588	0.3933	19.3548	888	9	16	0.4273	0	1.51
ceod000661	1.7172	4536	0.3959	21.1199	958	27	51	0.3803	0	5.72
ceod000708	0.9919	4449	0.4042	7.3500	327	6	38	0.3292	0	4.23
ceod000727	0.5912	4403	0.4208	12.8094	564	22	4	0.4037	0	2.17
ceod000751	2.8685	4366	0.4024	18.0944	790	49	75	0.4112	0	9.01
ceod000756	0.0695	4359	0.3561	2.7988	122	2	1	0.3762	0	0.43
ceod000808	2.5720	4280	0.3908	22.2430	952	62	47	0.3694	0	6.02
ceod000835	0.9019	4240	0.3816	25.0943	1064	11	27	0.3801	0	2.25
ceod000849	0.9732	4220	0.3936	12.6066	532	11	30	0.4132	0	3.63
ceod000873	0.1449	4181	0.3581	5.1662	216	3	3	0.3564	0	0.76
ceod000922	1.0061	4105	0.3927	16.5164	678	32	9	0.3120	0	3.12
ceod001012	2.5787	3995	0.4165	10.9387	437	39	63	0.3800	0	9.28
ceod001099	0.9990	3902	0.3756	19.8872	776	6	21	0.3993	0	2.37
ceod001120	0.5209	3878	0.3731	11.5781	449	6	14	0.3906	0	1.92
ceod001154	0.0000	3838	0.4140	0.0000	0	0	0	0.0000	-1	0.00
ceod001177	0.9798	3814	0.3726	21.9192	836	17	20	0.3768	0	2.81
ceod001201	0.9868	3794	0.4192	18.2920	694	29	8	0.4319	0	3.48
ceod001207	5.0140	3787	0.4203	14.9195	565	102	86	0.5575	0	20.25
ceod001275	7.7254	3725	0.3667	66.0940	2462	180	104	0.3983	3	11.18
ceod001285	2.2596	3717	0.3737	36.8577	1370	24	49	0.3662	0	3.89
ceod001286	0.5978	3717	0.4305	4.0355	150	7	15	0.4554	0	3.27
ceod001296	2.2905	3707	0.3621	24.5482	910	27	57	0.3408	0	6.72
ceod001300	0.3819	3703	0.3943	9.0197	334	4	10	0.4371	0	1.59
