ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	0.0132	8118	0.4114	1.3181	107	1	0	0.4356	0	0.11
ceod000075	0.0136	7449	0.3946	1.3559	101	1	0	0.4158	0	0.12
ceod000084	0.0836	7249	0.3854	3.2418	235	3	3	0.3465	0	0.56
ceod000163	0.0475	6385	0.3649	2.9287	187	3	0	0.3399	0	0.29
ceod000194	0.1159	6100	0.3552	2.6066	159	4	3	0.3409	0	0.77
ceod000233	0.1379	5859	0.3439	4.0109	235	3	5	0.3936	0	0.78
ceod000276	0.0357	5652	0.3922	2.1585	122	0	2	0.4455	0	0.25
ceod000295	0.0545	5560	0.3760	3.7590	209	3	0	0.4125	0	0.29
ceod000354	0.0000	5341	0.3960	0.0000	0	0	0	0.0000	-1	0.00
ceod000362	0.0190	5324	0.4040	1.8971	101	1	0	0.3960	0	0.14
ceod000387	0.0000	5240	0.3236	0.0000	0	0	0	0.0000	-1	0.00
ceod000405	0.0195	5169	0.3641	1.9540	101	0	1	0.4257	0	0.14
ceod000408	0.0000	5166	0.3906	0.0000	0	0	0	0.0000	-1	0.00
ceod000449	0.0000	5046	0.3898	0.0000	0	0	0	0.0000	-1	0.00
ceod000521	0.0624	4853	0.3841	2.7406	133	0	3	0.4356	0	0.40
ceod000537	0.0000	4803	0.4044	0.0000	0	0	0	0.0000	-1	0.00
ceod000619	0.0219	4614	0.3966	2.1890	101	1	0	0.3960	0	0.15
ceod000635	0.0220	4593	0.3642	2.1990	101	0	1	0.3564	0	0.15
ceod000638	0.3302	4588	0.3933	9.7210	446	6	9	0.4475	0	1.54
ceod000661	0.0223	4536	0.3959	2.2266	101	0	1	0.3960	0	0.15
ceod000708	0.0000	4449	0.4042	0.0000	0	0	0	0.0000	-1	0.00
ceod000727	0.0229	4403	0.4208	2.2939	101	0	1	0.4455	0	0.15
ceod000751	0.0000	4366	0.4024	0.0000	0	0	0	0.0000	-1	0.00
ceod000756	0.0000	4359	0.3561	0.0000	0	0	0	0.0000	-1	0.00
ceod000808	0.3068	4280	0.3908	8.2944	355	7	6	0.3800	0	1.52
ceod000835	0.0476	4240	0.3816	2.5943	110	0	2	0.4703	0	0.30
ceod000849	0.0000	4220	0.3936	0.0000	0	0	0	0.0000	-1	0.00
ceod000873	0.0242	4181	0.3581	2.4157	101	1	0	0.4257	0	0.15
ceod000922	0.0000	4105	0.3927	0.0000	0	0	0	0.0000	-1	0.00
ceod001012	0.0000	3995	0.4165	0.0000	0	0	0	0.0000	-1	0.00
ceod001099	0.0000	3902	0.3756	0.0000	0	0	0	0.0000	-1	0.00
ceod001120	0.0260	3878	0.3731	2.6044	101	0	1	0.4059	0	0.16
ceod001154	0.0263	3838	0.4140	2.6316	101	1	0	0.4059	0	0.16
ceod001177	0.0000	3814	0.3726	0.0000	0	0	0	0.0000	-1	0.00
ceod001201	0.0266	3794	0.4192	2.6621	101	0	1	0.4950	0	0.16
ceod001207	0.0000	3787	0.4203	0.0000	0	0	0	0.0000	-1	0.00
ceod001275	0.1627	3725	0.3667	8.6443	322	3	3	0.4208	0	0.66
ceod001285	0.0272	3717	0.3737	2.7172	101	0	1	0.4554	0	0.16
ceod001286	0.0272	3717	0.4305	2.7172	101	0	1	0.4356	0	0.16
ceod001296	0.0817	3707	0.3621	5.6919	211	3	0	0.4026	0	0.35
ceod001300	0.2738	3703	0.3943	7.1564	265	4	6	0.4426	0	1.32
ceod001315	0.0000	3683	0.3971	0.0000	0	0	0	0.0000	-1	0.00
ceod001329	0.1101	3671	0.3905	3.7592	138	0	4	0.4851	0	0.60
ceod001349	0.1940	3645	0.3928	6.0905	222	2	5	0.4201	0	0.87
ceod001352	0.0554	3644	0.3793	5.5434	202	1	1	0.3465	0	0.23
ceod001442	0.0847	3578	0.3907	2.9346	105	2	1	0.4620	0	0.49
ceod001485	0.0000	3542	0.3925	0.0000	0	0	0	0.0000	-1	0.00
ceod001491	0.0000	3537	0.3782	0.0000	0	0	0	0.0000	-1	0.00
ceod001507	0.0287	3521	0.3771	2.8685	101	0	1	0.3762	0	0.17
ceod001512	0.0861	3519	0.3970	3.7511	132	2	1	0.4158	0	0.46
ceod001562	0.0000	3478	0.3930	0.0000	0	0	0	0.0000	-1	0.00
ceod001598	0.0000	3454	0.3628	0.0000	0	0	0	0.0000	-1	0.00
ceod001626	0.0000	3435	0.3681	0.0000	0	0	0	0.0000	-1	0.00
ceod001627	0.0000	3434	0.3620	0.0000	0	0	0	0.0000	-1	0.00
ceod001639	0.1179	3426	0.3914	3.9113	134	0	4	0.4257	0	0.63
ceod001662	0.0296	3413	0.4129	2.9593	101	1	0	0.3762	0	0.17
ceod001690	0.0000	3395	0.3779	0.0000	0	0	0	0.0000	-1	0.00
ceod001697	0.0000	3393	0.4162	0.0000	0	0	0	0.0000	-1	0.00
ceod001719	0.3286	3381	0.3853	6.6548	225	5	6	0.3465	0	1.38
ceod001738	0.0000	3366	0.3919	0.0000	0	0	0	0.0000	-1	0.00
ceod001762	0.0000	3351	0.3941	0.0000	0	0	0	0.0000	-1	0.00
ceod001795	0.0000	3326	0.3821	0.0000	0	0	0	0.0000	-1	0.00
ceod001807	0.3603	3322	0.3889	10.3853	345	6	6	0.4414	0	1.45
ceod001816	0.0000	3318	0.4057	0.0000	0	0	0	0.0000	-1	0.00
ceod001819	0.0304	3317	0.3920	3.0449	101	0	1	0.4752	0	0.17
ceod001821	0.0000	3315	0.3870	0.0000	0	0	0	0.0000	-1	0.00
ceod001849	0.0000	3295	0.3681	0.0000	0	0	0	0.0000	-1	0.00
ceod001858	0.0307	3287	0.3973	3.0727	101	1	0	0.4554	0	0.17
ceod001866	0.3391	3279	0.3803	4.8185	158	5	6	0.3942	0	1.72
ceod001885	0.0309	3267	0.3765	3.0915	101	1	0	0.4752	0	0.17
ceod001922	0.0000	3247	0.3650	0.0000	0	0	0	0.0000	-1	0.00
ceod001924	0.0000	3247	0.3502	0.0000	0	0	0	0.0000	-1	0.00
ceod001930	0.0000	3242	0.3869	0.0000	0	0	0	0.0000	-1	0.00
ceod001966	0.4699	3224	0.4164	17.0596	550	8	7	0.4475	0	1.18
