ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.1819	8118	0.4114	7.5018	609	39	56	0.4179	0	6.61
ceod000075	0.4806	7449	0.3946	8.6857	647	15	20	0.3887	0	2.39
ceod000084	0.6827	7249	0.3854	12.2086	885	16	33	0.4391	0	2.66
ceod000163	1.9488	6385	0.3649	26.3743	1684	60	61	0.3552	0	4.69
ceod000194	1.2925	6100	0.3552	16.9836	1036	18	60	0.3762	0	3.87
ceod000233	2.2152	5859	0.3439	22.1027	1295	53	76	0.3958	0	5.87
ceod000276	0.1608	5652	0.3922	2.5832	146	5	4	0.4719	0	1.09
ceod000295	1.1263	5560	0.3760	15.0899	839	20	42	0.4162	0	6.75
ceod000354	0.6240	5341	0.3960	7.2458	387	8	25	0.4047	0	3.38
ceod000362	0.6285	5324	0.4040	9.1848	489	15	19	0.3573	0	2.82
ceod000387	1.3300	5240	0.3236	10.1718	533	33	36	0.4081	0	4.75
ceod000405	0.8971	5169	0.3641	14.2194	735	8	38	0.3341	0	3.76
ceod000408	0.5501	5166	0.3906	11.0143	569	17	11	0.3621	0	2.00
ceod000449	2.0216	5046	0.3898	6.8173	344	42	59	0.4845	0	10.24
ceod000521	2.5768	4853	0.3841	16.1137	782	33	69	0.3595	0	8.20
ceod000537	1.3248	4803	0.4044	15.4695	743	57	6	0.4312	0	4.31
ceod000619	0.6342	4614	0.3966	14.3476	662	10	19	0.4137	0	1.97
ceod000635	2.1524	4593	0.3642	23.1004	1061	53	45	0.3743	0	6.18
ceod000638	0.4845	4588	0.3933	19.8779	912	7	15	0.3740	0	1.41
ceod000661	1.3640	4536	0.3959	19.2681	874	24	38	0.3774	0	4.41
ceod000708	1.0348	4449	0.4042	7.7770	346	8	38	0.3071	0	4.09
ceod000727	0.5042	4403	0.4208	14.3993	634	6	16	0.4172	0	1.96
ceod000751	4.6505	4366	0.4024	18.0715	789	79	122	0.4070	0	14.51
ceod000756	0.0463	4359	0.3561	2.5923	113	1	1	0.4010	0	0.29
ceod000808	1.6755	4280	0.3908	23.2710	996	29	42	0.3707	0	4.25
ceod000835	0.8538	4240	0.3816	22.1462	939	24	12	0.4106	0	2.02
ceod000849	0.5453	4220	0.3936	8.9810	379	6	17	0.3973	0	2.08
ceod000873	0.2416	4181	0.3581	10.3325	432	8	2	0.3743	0	0.88
ceod000922	0.1963	4105	0.3927	8.3800	344	7	1	0.3465	0	0.70
ceod001012	3.0693	3995	0.4165	10.7885	431	48	72	0.3864	0	10.35
ceod001099	2.0192	3902	0.3756	20.9892	819	24	49	0.3653	0	5.51
ceod001120	0.6251	3878	0.3731	11.2171	435	6	18	0.4055	0	2.93
ceod001154	0.0526	3838	0.4140	2.6837	103	0	2	0.4109	0	0.32
ceod001177	1.2963	3814	0.3726	30.7289	1172	19	30	0.3750	0	2.72
ceod001201	0.6133	3794	0.4192	21.6658	822	15	8	0.3892	0	1.37
ceod001207	4.3472	3787	0.4203	15.0515	570	74	89	0.5675	0	17.65
ceod001275	11.3640	3725	0.3667	69.3423	2583	268	151	0.4017	3	19.07
ceod001285	2.5819	3717	0.3737	26.1232	971	30	65	0.3610	0	5.82
ceod001286	0.3261	3717	0.4305	3.1208	116	0	12	0.4546	0	1.88
ceod001296	1.0065	3707	0.3621	23.7658	881	18	19	0.3565	0	3.03
ceod001300	0.5144	3703	0.3943	9.0467	335	1	18	0.4440	0	2.44
ceod001315	0.5210	3683	0.3971	10.1005	372	3	16	0.3220	0	1.82
ceod001329	1.2106	3671	0.3905	13.6203	500	15	29	0.3101	0	4.25
ceod001349	1.5185	3645	0.3928	27.7641	1012	6	49	0.4304	0	4.92
ceod001352	3.8485	3644	0.3793	14.8189	540	32	107	0.3714	0	12.56
ceod001442	2.5106	3578	0.3907	5.3941	193	40	49	0.4537	0	12.10
ceod001485	0.4277	3542	0.3925	6.4088	227	12	3	0.3545	0	2.08
ceod001491	1.9485	3537	0.3782	13.4012	474	20	48	0.3347	0	6.87
ceod001507	0.1434	3521	0.3771	3.3229	117	5	0	0.3881	0	0.81
ceod001512	1.7857	3519	0.3970	26.5700	935	25	36	0.3589	0	5.30
ceod001562	1.5391	3478	0.3930	21.5066	748	26	27	0.3712	0	4.97
ceod001598	0.7852	3454	0.3628	8.1934	283	5	22	0.3289	0	2.79
ceod001626	0.7342	3435	0.3681	12.0524	414	16	9	0.4097	0	2.67
ceod001627	2.0309	3434	0.3620	18.6954	642	22	48	0.3885	0	7.09
ceod001639	1.5018	3426	0.3914	12.1716	417	13	38	0.4523	0	6.92
ceod001662	8.9156	3413	0.4129	31.6730	1081	83	219	0.4429	0	22.42
ceod001690	1.1832	3395	0.3779	26.0677	885	19	21	0.4000	0	2.46
ceod001697	0.6251	3393	0.4162	23.7843	807	12	9	0.3960	0	1.37
ceod001719	3.2428	3381	0.3853	22.5673	763	27	82	0.3560	0	10.33
ceod001738	0.1800	3366	0.3919	6.8330	230	6	0	0.3465	0	0.69
ceod001762	0.8747	3351	0.3941	11.1012	372	14	15	0.3605	0	3.58
ceod001795	0.4765	3326	0.3821	13.7703	458	9	7	0.3824	0	1.56
ceod001807	14.5436	3322	0.3889	22.0951	734	175	305	0.4279	0	45.72
ceod001816	0.9054	3318	0.4057	11.2719	374	13	17	0.4528	0	2.93
ceod001819	2.4591	3317	0.3920	32.4088	1075	30	51	0.4382	0	5.57
ceod001821	2.8428	3315	0.3870	33.5747	1113	47	46	0.3650	0	6.15
ceod001849	0.8261	3295	0.3681	9.3778	309	6	21	0.4804	0	2.95
ceod001858	6.0030	3287	0.3973	52.9054	1739	107	88	0.4153	1	12.33
ceod001866	1.5066	3279	0.3803	26.8375	880	35	14	0.4096	0	3.28
ceod001885	1.4561	3267	0.3765	19.9571	652	24	23	0.3261	0	4.13
ceod001922	0.8399	3247	0.3650	20.3265	660	11	16	0.3883	0	2.21
ceod001924	0.0000	3247	0.3502	0.0000	0	0	0	0.0000	-1	0.00
ceod001930	5.1838	3242	0.3869	58.4824	1896	91	76	0.4313	1	9.58
