ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	0.0245	8118	0.4114	1.4536	118	0	2	0.4653	0	0.21
ceod000075	0.0814	7449	0.3946	4.2825	319	5	1	0.3713	0	0.42
ceod000084	0.7106	7249	0.3854	8.3874	608	28	23	0.3830	0	3.31
ceod000163	0.3319	6385	0.3649	7.9405	507	8	13	0.3800	0	1.58
ceod000194	0.6292	6100	0.3552	12.3443	753	14	24	0.3661	0	2.38
ceod000233	0.6723	5859	0.3439	7.7658	455	13	26	0.3841	0	2.94
ceod000276	0.0715	5652	0.3922	2.1231	120	2	2	0.4554	0	0.51
ceod000295	0.2725	5560	0.3760	2.1583	120	5	10	0.4218	0	1.94
ceod000354	0.5862	5341	0.3960	6.4407	344	7	24	0.4050	0	2.91
ceod000362	0.0982	5324	0.4040	4.6957	250	2	3	0.4436	0	0.52
ceod000387	0.0964	5240	0.3236	2.9008	152	1	4	0.4792	0	0.61
ceod000405	0.0391	5169	0.3641	2.8052	145	1	1	0.4010	0	0.24
ceod000408	0.0000	5166	0.3906	0.0000	0	0	0	0.0000	-1	0.00
ceod000449	0.0000	5046	0.3898	0.0000	0	0	0	0.0000	-1	0.00
ceod000521	0.0631	4853	0.3841	2.1842	106	1	2	0.3003	0	0.43
ceod000537	0.3785	4803	0.4044	11.2638	541	11	7	0.4406	0	1.54
ceod000619	0.1751	4614	0.3966	7.5856	350	5	3	0.4344	0	0.70
ceod000635	0.2628	4593	0.3642	2.8957	133	5	7	0.3663	0	1.66
ceod000638	0.5283	4588	0.3933	13.5789	623	9	15	0.4571	0	1.92
ceod000661	0.2447	4536	0.3959	10.0529	456	4	7	0.4113	0	0.96
ceod000708	0.0227	4449	0.4042	2.2702	101	1	0	0.4455	0	0.15
ceod000727	0.1147	4403	0.4208	7.6766	338	1	4	0.3921	0	0.42
ceod000751	0.0694	4366	0.4024	2.6798	117	2	1	0.3795	0	0.43
ceod000756	0.0695	4359	0.3561	2.4318	106	1	2	0.3927	0	0.45
ceod000808	0.4956	4280	0.3908	6.3551	272	11	10	0.3932	0	2.13
ceod000835	0.0955	4240	0.3816	5.8255	247	4	0	0.4851	0	0.43
ceod000849	0.0000	4220	0.3936	0.0000	0	0	0	0.0000	-1	0.00
ceod000873	0.0725	4181	0.3581	5.5728	233	2	1	0.3465	0	0.32
ceod000922	0.0244	4105	0.3927	2.4361	100	0	1	0.2871	0	0.15
ceod001012	0.0758	3995	0.4165	2.7034	108	0	3	0.4686	0	0.46
ceod001099	0.1896	3902	0.3756	10.0974	394	4	1	0.4733	0	0.67
ceod001120	0.1823	3878	0.3731	5.3894	209	2	5	0.3975	0	0.95
ceod001154	0.0263	3838	0.4140	2.6316	101	0	1	0.3960	0	0.16
ceod001177	0.1843	3814	0.3726	8.9670	342	6	1	0.4144	0	0.75
ceod001201	0.0000	3794	0.4192	0.0000	0	0	0	0.0000	-1	0.00
ceod001207	0.0000	3787	0.4203	0.0000	0	0	0	0.0000	-1	0.00
ceod001275	2.2290	3725	0.3667	42.4698	1582	50	32	0.3918	0	4.77
ceod001285	0.2717	3717	0.3737	8.2324	306	8	2	0.4683	0	1.24
ceod001286	0.0815	3717	0.4305	6.0264	224	1	2	0.4455	0	0.34
ceod001296	0.0545	3707	0.3621	5.4492	202	1	1	0.3861	0	0.23
ceod001300	0.3819	3703	0.3943	3.8887	144	3	11	0.4385	0	2.10
ceod001315	0.0000	3683	0.3971	0.0000	0	0	0	0.0000	-1	0.00
ceod001329	0.0000	3671	0.3905	0.0000	0	0	0	0.0000	-1	0.00
