ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.0326	8118	0.4114	5.4693	444	27	56	0.4381	0	5.89
ceod000075	0.3767	7449	0.3946	7.1016	529	10	16	0.3759	0	1.78
ceod000084	0.9941	7249	0.3854	13.0639	947	27	44	0.4139	0	3.29
ceod000163	2.0374	6385	0.3649	21.0807	1346	52	77	0.3717	0	5.53
ceod000194	0.9121	6100	0.3552	15.6557	955	23	32	0.3845	0	3.33
ceod000233	2.2876	5859	0.3439	22.2393	1303	70	61	0.3886	0	6.61
ceod000276	0.0357	5652	0.3922	3.5740	202	0	2	0.4406	0	0.19
ceod000295	1.0897	5560	0.3760	15.0899	839	18	42	0.4048	0	5.85
ceod000354	0.4728	5341	0.3960	8.0322	429	5	20	0.3956	0	1.92
ceod000362	0.5436	5324	0.4040	5.8415	311	17	13	0.3442	0	2.93
ceod000387	1.8697	5240	0.3236	10.7061	561	36	61	0.4152	0	6.69
ceod000405	0.8565	5169	0.3641	13.7744	712	13	31	0.3486	0	3.69
ceod000408	0.2542	5166	0.3906	7.7429	400	8	5	0.3732	0	0.99
ceod000449	2.2418	5046	0.3898	6.8569	346	57	55	0.4848	0	11.80
ceod000521	1.9056	4853	0.3841	13.5174	656	38	41	0.3517	0	6.10
ceod000537	0.9883	4803	0.4044	11.4304	549	33	14	0.4456	0	3.84
ceod000619	0.7661	4614	0.3966	17.0785	788	13	19	0.4016	0	2.16
ceod000635	2.0107	4593	0.3642	19.4426	893	35	57	0.3942	0	6.65
ceod000638	0.3276	4588	0.3933	11.8352	543	4	11	0.4363	0	1.17
ceod000661	1.0161	4536	0.3959	20.8113	944	17	29	0.3775	0	2.50
ceod000708	0.8346	4449	0.4042	6.2711	279	16	21	0.2922	0	3.93
ceod000727	0.6398	4403	0.4208	11.8556	522	9	19	0.4084	0	2.23
ceod000751	3.7941	4366	0.4024	17.8653	780	60	104	0.4048	0	13.01
ceod000756	0.0695	4359	0.3561	2.5235	110	0	3	0.3894	0	0.44
ceod000808	2.2182	4280	0.3908	24.5093	1049	47	47	0.3754	0	5.06
ceod000835	0.6436	4240	0.3816	20.3066	861	13	14	0.4215	0	1.83
ceod000849	0.7628	4220	0.3936	12.8436	542	8	24	0.3998	0	2.54
ceod000873	0.2657	4181	0.3581	6.4339	269	6	5	0.3969	0	1.34
ceod000922	0.2689	4105	0.3927	10.5238	432	7	4	0.2961	0	0.96
ceod001012	3.0548	3995	0.4165	12.5657	502	41	79	0.3952	0	10.72
ceod001099	1.8275	3902	0.3756	23.1164	902	17	42	0.3496	0	5.06
ceod001120	0.3907	3878	0.3731	11.3976	442	4	11	0.4092	0	1.34
ceod001154	0.0789	3838	0.4140	5.2632	202	0	3	0.3993	0	0.35
ceod001177	1.7472	3814	0.3726	33.4819	1277	16	50	0.3705	0	4.69
ceod001201	0.4800	3794	0.4192	21.7185	824	8	10	0.4081	0	1.14
ceod001207	4.1072	3787	0.4203	12.0676	457	98	56	0.5652	0	17.34
ceod001275	10.0923	3725	0.3667	68.1611	2539	227	145	0.4015	4	14.84
ceod001285	2.0379	3717	0.3737	32.7415	1217	22	53	0.3643	0	4.78
ceod001286	0.2989	3717	0.4305	3.8203	142	4	7	0.4446	0	1.64
ceod001296	1.7664	3707	0.3621	14.7828	548	23	42	0.3482	0	7.04
ceod001300	0.3000	3703	0.3943	9.4788	351	6	5	0.4329	0	1.12
ceod001315	0.3017	3683	0.3971	6.7608	249	3	8	0.3258	0	1.34
ceod001329	1.0180	3671	0.3905	12.2582	450	8	29	0.3112	0	3.60
ceod001349	1.2968	3645	0.3928	22.5789	823	8	39	0.4139	0	3.90
ceod001352	3.5349	3644	0.3793	14.1054	514	43	85	0.3666	0	12.50
ceod001442	2.7650	3578	0.3907	5.3941	193	15	83	0.4593	0	13.09
ceod001485	0.4277	3542	0.3925	6.5217	231	3	12	0.3716	0	1.86
ceod001491	2.5225	3537	0.3782	20.6955	732	10	78	0.3366	0	8.04
ceod001507	0.1721	3521	0.3771	3.3797	119	2	4	0.3828	0	0.97
ceod001512	1.2810	3519	0.3970	22.6769	798	14	28	0.3413	0	3.94
ceod001562	2.0618	3478	0.3930	30.5060	1061	40	31	0.3739	0	6.10
ceod001598	1.5345	3454	0.3628	14.3023	494	3	50	0.3380	0	5.75
ceod001626	0.9415	3435	0.3681	15.8661	545	10	22	0.4149	0	3.08
ceod001627	1.9129	3434	0.3620	17.2394	592	17	48	0.3784	0	7.13
ceod001639	1.3187	3426	0.3914	11.7338	402	25	20	0.4513	0	6.44
ceod001662	9.3024	3413	0.4129	25.1392	858	68	247	0.4419	0	23.20
ceod001690	0.8024	3395	0.3779	19.2047	652	13	14	0.3935	0	2.24
ceod001697	0.9246	3393	0.4162	19.7760	671	12	19	0.4005	0	2.41
ceod001719	4.5291	3381	0.3853	25.2588	854	33	120	0.3654	0	12.66
ceod001738	0.1794	3366	0.3919	12.4777	420	4	2	0.3614	0	0.51
ceod001762	1.0848	3351	0.3941	14.7120	493	16	20	0.3575	0	4.68
ceod001795	0.7574	3326	0.3821	11.8461	394	12	13	0.3617	0	2.50
ceod001807	16.4666	3322	0.3889	26.6105	884	135	395	0.4234	0	48.54
ceod001816	0.8791	3318	0.4057	13.6829	454	9	20	0.4520	0	3.42
ceod001819	3.5252	3317	0.3920	26.1984	869	51	65	0.4398	0	10.41
ceod001821	2.7719	3315	0.3870	30.4676	1010	43	48	0.3601	0	6.80
ceod001849	0.6131	3295	0.3681	8.7102	287	13	7	0.4312	0	2.42
ceod001858	6.2735	3287	0.3973	46.6991	1535	97	107	0.4185	0	11.63
ceod001866	1.4151	3279	0.3803	26.9289	883	29	17	0.4094	0	3.88
ceod001885	1.4555	3267	0.3765	19.4368	635	19	28	0.3225	0	4.04
ceod001922	1.8626	3247	0.3650	20.5112	666	20	40	0.3715	0	5.05
ceod001924	0.0311	3247	0.3502	3.1106	101	1	0	0.3564	0	0.17
ceod001930	7.7347	3242	0.3869	63.5410	2060	139	110	0.4289	2	13.66
ceod001966	4.1362	3224	0.4164	26.2097	845	47	85	0.4175	0	12.33
ceod001970	0.6532	3221	0.3636	13.2878	428	5	16	0.4385	0	2.01
ceod001971	2.4762	3219	0.3871	51.1028	1645	18	39	0.3501	1	3.65
ceod001993	0.9666	3205	0.3705	9.4228	302	19	12	0.3842	0	3.99
ceod002053	0.6706	3166	0.3765	19.1725	607	7	14	0.3861	0	1.96
ceod002070	0.8955	3158	0.4056	28.4991	900	15	13	0.4314	0	1.76
ceod002110	2.2230	3135	0.4130	13.7161	430	13	56	0.3686	0	8.31
ceod002116	4.5821	3130	0.3690	32.7157	1024	73	69	0.3848	0	9.89
ceod002137	0.7443	3121	0.4058	25.3765	792	8	15	0.4003	0	1.53
ceod002203	0.3601	3085	0.3510	7.0340	217	4	7	0.3663	0	1.42
ceod002208	3.6364	3083	0.3867	21.0185	648	56	55	0.3492	0	11.82
ceod002238	3.8233	3067	0.3779	47.3101	1451	47	69	0.3826	0	7.32
