ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	0.0000	8118	0.4114	0.0000	0	0	0	0.0000	-1	0.00
ceod000075	0.0000	7449	0.3946	0.0000	0	0	0	0.0000	-1	0.00
ceod000084	0.0836	7249	0.3854	4.3316	314	3	3	0.3812	0	0.48
ceod000163	0.0158	6385	0.3649	1.5818	101	1	0	0.3168	0	0.12
ceod000194	0.1490	6100	0.3552	4.2295	258	2	7	0.3751	0	0.79
ceod000233	0.1551	5859	0.3439	1.9457	114	1	8	0.3850	0	1.14
ceod000276	0.0179	5652	0.3922	1.7870	101	1	0	0.3762	0	0.13
ceod000295	0.0182	5560	0.3760	1.8165	101	1	0	0.4356	0	0.13
ceod000354	0.0000	5341	0.3960	0.0000	0	0	0	0.0000	-1	0.00
ceod000362	0.0569	5324	0.4040	2.0661	110	0	3	0.4752	0	0.40
ceod000387	0.0000	5240	0.3236	0.0000	0	0	0	0.0000	-1	0.00
ceod000405	0.0000	5169	0.3641	0.0000	0	0	0	0.0000	-1	0.00
ceod000408	0.0000	5166	0.3906	0.0000	0	0	0	0.0000	-1	0.00
ceod000449	0.0000	5046	0.3898	0.0000	0	0	0	0.0000	-1	0.00
ceod000521	0.0208	4853	0.3841	2.0812	101	1	0	0.4950	0	0.14
ceod000537	0.0000	4803	0.4044	0.0000	0	0	0	0.0000	-1	0.00
ceod000619	0.0219	4614	0.3966	2.1890	101	0	1	0.3960	0	0.15
ceod000635	0.1313	4593	0.3642	2.8304	130	4	2	0.3696	0	0.83
ceod000638	0.2201	4588	0.3933	5.0131	230	5	5	0.4797	0	1.26
ceod000661	0.0000	4536	0.3959	0.0000	0	0	0	0.0000	-1	0.00
ceod000708	0.0000	4449	0.4042	0.0000	0	0	0	0.0000	-1	0.00
ceod000727	0.0000	4403	0.4208	0.0000	0	0	0	0.0000	-1	0.00
