ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	1.2690	8118	0.4114	9.3003	755	42	60	0.4198	0	6.18
ceod000075	0.6915	7449	0.3946	7.9071	589	27	24	0.3549	0	3.01
ceod000084	1.2822	7249	0.3854	14.5813	1057	41	51	0.4003	0	5.20
ceod000163	2.8406	6385	0.3649	24.7612	1581	69	100	0.3533	0	7.49
ceod000194	1.2726	6100	0.3552	13.6393	832	39	37	0.3774	0	3.97
ceod000233	1.8973	5859	0.3439	19.3207	1132	34	70	0.3900	0	5.83
ceod000276	0.1430	5652	0.3922	2.6008	147	1	7	0.4530	0	0.96
ceod000295	0.5450	5560	0.3760	7.2302	402	13	17	0.4132	0	2.79
ceod000354	0.4728	5341	0.3960	8.6126	460	6	19	0.4250	0	2.04
ceod000362	0.7370	5324	0.4040	7.3253	390	12	27	0.3544	0	3.47
ceod000387	1.6017	5240	0.3236	8.6641	454	44	39	0.4043	0	6.04
ceod000405	1.2641	5169	0.3641	10.8338	560	18	47	0.3587	0	5.02
ceod000408	0.8984	5166	0.3906	16.8215	869	24	22	0.3829	0	3.12
ceod000449	3.0384	5046	0.3898	7.2533	366	46	106	0.4786	0	14.75
ceod000521	1.0795	4853	0.3841	9.4993	461	19	33	0.3517	0	4.54
ceod000537	1.1776	4803	0.4044	13.4916	648	31	25	0.4378	0	4.58
ceod000619	1.2822	4614	0.3966	18.7906	867	22	29	0.4028	0	3.52
ceod000635	1.4047	4593	0.3642	18.4193	846	31	33	0.3671	0	5.40
ceod000638	0.5283	4588	0.3933	15.2790	701	8	16	0.4435	0	1.50
ceod000661	1.6100	4536	0.3959	8.0908	367	31	42	0.3876	0	7.05
ceod000708	0.7676	4449	0.4042	6.8330	304	13	21	0.3410	0	3.51
ceod000727	0.3225	4403	0.4208	9.1983	405	8	6	0.3635	0	1.25
ceod000751	3.5625	4366	0.4024	17.3843	759	61	93	0.4053	0	12.38
ceod000756	0.1159	4359	0.3561	2.4776	108	1	4	0.3802	0	0.74
ceod000808	2.7846	4280	0.3908	23.2009	993	58	60	0.3805	0	6.64
ceod000835	1.1358	4240	0.3816	19.7170	836	22	26	0.4299	0	3.42
ceod000849	1.3363	4220	0.3936	8.1517	344	22	34	0.4127	0	6.11
ceod000873	0.0966	4181	0.3581	2.7266	114	3	1	0.4010	0	0.60
ceod000922	0.1946	4105	0.3927	10.1340	416	6	2	0.3168	0	0.77
ceod001012	2.0225	3995	0.4165	8.7109	348	25	55	0.3908	0	8.67
ceod001099	0.5920	3902	0.3756	18.2471	712	4	18	0.3524	0	1.64
ceod001120	0.4688	3878	0.3731	10.9077	423	7	11	0.4051	0	1.62
ceod001154	0.0263	3838	0.4140	2.6316	101	0	1	0.3861	0	0.16
ceod001177	0.9541	3814	0.3726	21.5784	823	16	20	0.3862	0	2.62
ceod001201	1.0469	3794	0.4192	15.7617	598	26	14	0.4225	0	4.33
ceod001207	3.5741	3787	0.4203	12.0412	456	51	83	0.5874	0	14.83
ceod001275	10.2569	3725	0.3667	64.3490	2397	210	168	0.4023	2	16.72
ceod001285	2.7980	3717	0.3737	28.6521	1065	27	76	0.3510	0	7.63
ceod001286	0.1902	3717	0.4305	3.9279	146	3	4	0.4399	0	1.03
ceod001296	0.7893	3707	0.3621	12.8675	477	10	19	0.3407	0	2.81
ceod001300	0.5974	3703	0.3943	11.6122	430	7	15	0.4160	0	2.12
ceod001315	0.7130	3683	0.3971	8.9058	328	8	18	0.3225	0	2.86
ceod001329	1.8003	3671	0.3905	10.5421	387	25	36	0.3051	0	7.35
ceod001349	1.1594	3645	0.3928	13.4979	492	10	32	0.4024	0	3.89
ceod001352	3.2939	3644	0.3793	9.5499	348	31	88	0.3567	0	13.22
ceod001442	1.0436	3578	0.3907	5.3102	190	7	30	0.4538	0	5.32
ceod001485	0.7964	3542	0.3925	9.4862	336	14	14	0.3593	0	2.95
ceod001491	2.1507	3537	0.3782	9.1603	324	20	55	0.3230	0	7.98
ceod001507	0.3155	3521	0.3771	3.2377	114	7	4	0.3834	0	1.79
ceod001512	1.5240	3519	0.3970	19.0111	669	15	37	0.3405	0	5.14
ceod001562	2.1780	3478	0.3930	17.9413	624	50	25	0.3759	0	6.89
ceod001598	0.9343	3454	0.3628	9.6120	332	8	24	0.3472	0	3.54
ceod001626	1.0332	3435	0.3681	12.6055	433	16	19	0.3694	0	4.19
ceod001627	1.4863	3434	0.3620	13.5702	466	21	30	0.3755	0	5.09
ceod001639	3.0648	3426	0.3914	12.6970	435	31	73	0.4571	0	14.62
ceod001662	6.7964	3413	0.4129	25.3736	866	55	175	0.4482	0	18.41
ceod001690	0.1629	3395	0.3779	13.5788	461	2	2	0.4084	0	0.44
ceod001697	0.9266	3393	0.4162	22.4580	762	14	17	0.4168	0	2.23
ceod001719	2.1869	3381	0.3853	12.4224	420	18	56	0.3577	0	8.55
ceod001738	0.1200	3366	0.3919	6.5954	222	2	2	0.3589	0	0.51
ceod001762	2.5918	3351	0.3941	10.2059	342	21	65	0.3485	0	11.22
ceod001795	0.8416	3326	0.3821	11.3349	377	10	18	0.3663	0	3.08
ceod001807	8.7182	3322	0.3889	19.4160	645	94	193	0.4153	0	29.26
ceod001816	1.9542	3318	0.4057	11.1814	371	13	52	0.4407	0	7.25
ceod001819	3.0096	3317	0.3920	21.6461	718	24	75	0.4619	0	9.39
ceod001821	1.9834	3315	0.3870	27.6320	916	33	32	0.3537	0	4.18
ceod001849	0.5156	3295	0.3681	9.4992	313	6	11	0.4520	0	1.72
ceod001858	4.8865	3287	0.3973	33.1001	1088	74	85	0.4171	0	10.96
ceod001866	1.8234	3279	0.3803	27.1424	890	33	26	0.3923	0	4.03
ceod001885	2.2639	3267	0.3765	22.5589	737	27	46	0.3212	0	6.92
ceod001922	1.5516	3247	0.3650	23.9606	778	18	32	0.3729	0	4.13
ceod001924	0.2476	3247	0.3502	8.1306	264	5	3	0.3676	0	0.90
ceod001930	13.8618	3242	0.3869	61.5052	1994	140	300	0.4246	3	30.42
ceod001966	3.9786	3224	0.4164	28.3499	914	45	82	0.4202	0	9.77
ceod001970	0.5331	3221	0.3636	10.4005	335	4	13	0.4537	0	1.94
ceod001971	2.3948	3219	0.3871	52.0348	1675	20	35	0.3377	1	3.64
ceod001993	1.5744	3205	0.3705	6.2090	199	24	26	0.4054	0	7.32
ceod002053	2.6927	3166	0.3765	20.3095	643	33	53	0.3663	0	7.78
ceod002070	0.8626	3158	0.4056	26.9474	851	13	14	0.4129	0	1.95
ceod002110	1.6108	3135	0.4130	9.6013	301	25	25	0.3451	0	5.64
ceod002116	3.5546	3130	0.3690	29.3610	919	41	69	0.3767	0	8.50
ceod002137	0.7120	3121	0.4058	20.1858	630	10	12	0.3623	0	1.77
ceod002203	0.4259	3085	0.3510	7.1961	222	5	8	0.3758	0	1.82
ceod002208	4.2592	3083	0.3867	16.4126	506	47	83	0.3294	0	14.83
ceod002238	2.3710	3067	0.3779	37.7568	1158	36	36	0.3729	0	4.69
ceod002245	3.5271	3064	0.3981	29.7650	912	49	58	0.4286	0	10.51
ceod002257	0.5769	3054	0.3795	10.5435	322	8	9	0.3267	0	2.16
ceod002260	0.8869	3051	0.3714	10.7178	327	7	20	0.4606	0	3.21
ceod002269	0.5108	3048	0.3907	7.9396	242	7	9	0.2710	0	2.29
ceod002277	0.8186	3043	0.3381	13.1121	399	6	19	0.3683	0	3.08
ceod002306	3.8768	3027	0.3848	44.7968	1356	48	69	0.3971	0	7.77
ceod002347	2.5460	3009	0.3961	23.6956	713	42	34	0.3610	0	8.44
ceod002352	2.1308	3004	0.3758	38.6818	1162	23	41	0.3705	0	3.42
ceod002372	2.6681	2995	0.4311	12.0200	360	29	48	0.4117	0	8.87
ceod002389	0.3384	2985	0.3810	7.1022	212	5	5	0.3634	0	1.26
ceod002390	2.0935	2985	0.3886	37.0854	1107	25	37	0.3959	0	3.87
ceod002429	3.9474	2968	0.3679	33.8612	1005	50	66	0.3859	0	10.79
ceod002488	0.6147	2938	0.3857	7.5902	223	5	13	0.3691	0	2.21
ceod002493	0.4421	2936	0.3718	11.3079	332	5	8	0.3808	0	1.38
ceod002503	2.9863	2930	0.3849	38.4983	1128	37	50	0.3616	0	6.55
ceod002534	0.0684	2910	0.3485	6.8385	199	1	1	0.4604	0	0.25
ceod002569	2.0598	2893	0.4113	7.5354	218	25	34	0.3461	0	8.62
ceod002570	1.3947	2893	0.3863	18.9423	548	21	19	0.3678	0	3.19
ceod002574	6.3610	2892	0.3709	87.8285	2540	67	93	0.4189	1	12.09
ceod002640	1.4093	2868	0.3654	26.7434	767	14	26	0.3629	0	3.10
ceod002655	2.7403	2861	0.3509	41.0346	1174	20	58	0.3380	0	5.73
ceod002660	4.4669	2859	0.3403	12.9066	369	40	87	0.3584	0	14.75
ceod002708	0.6429	2837	0.3413	11.7025	332	6	12	0.3559	0	2.03
ceod002727	1.8201	2830	0.3619	12.7208	360	13	39	0.3649	0	7.91
ceod002730	3.8201	2829	0.3715	27.5009	778	45	62	0.4205	0	11.83
ceod002794	1.3849	2801	0.3795	12.0671	338	19	20	0.2846	0	4.99
ceod002827	7.5940	2786	0.3270	28.7868	802	70	132	0.3967	0	17.34
ceod002873	4.1202	2770	0.3951	29.6751	822	48	65	0.3640	0	8.28
ceod002880	1.5060	2769	0.3854	36.2225	1003	14	26	0.3906	0	3.40
ceod002893	0.5128	2763	0.3799	17.8067	492	10	4	0.4109	0	1.60
ceod002912	0.0732	2758	0.3987	3.9521	109	1	1	0.4554	0	0.37
ceod002939	2.3051	2747	0.3811	10.5570	290	23	40	0.3654	0	7.90
ceod002953	0.3975	2742	0.3810	14.6973	403	2	8	0.3594	0	1.13
ceod002955	5.8931	2741	0.4103	55.2353	1514	63	97	0.4106	1	9.05
ceod002957	0.0368	2741	0.4061	3.6848	101	0	1	0.4455	0	0.19
ceod002970	4.8392	2737	0.3738	38.3632	1050	62	69	0.3786	0	11.13
ceod002977	1.1760	2733	0.3679	24.1859	661	14	18	0.3998	0	2.68
ceod002991	2.7078	2724	0.4178	20.4479	557	24	50	0.4426	0	8.88
ceod003012	2.9084	2719	0.3640	27.3630	744	28	50	0.4133	0	7.13
ceod003015	3.1192	2717	0.3989	21.7151	590	40	44	0.3850	0	7.83
ceod003057	4.2613	2702	0.3970	42.0059	1135	48	66	0.4065	0	7.33
ceod003059	1.0466	2701	0.3580	18.3636	496	14	14	0.3310	0	2.69
ceod003066	2.8331	2697	0.4119	15.8324	427	12	64	0.4530	0	9.88
ceod003099	1.7980	2688	0.3746	17.6339	474	16	32	0.3721	0	4.91
ceod003107	3.3297	2684	0.3901	18.1073	486	26	62	0.3623	0	9.93
ceod003114	0.9787	2681	0.3805	30.6975	823	8	18	0.3252	0	2.27
ceod003136	2.1101	2671	0.3261	32.6844	873	8	46	0.3154	0	4.81
ceod003146	5.1611	2669	0.3569	17.1225	457	41	96	0.4280	0	17.72
ceod003174	3.8331	2660	0.3932	8.4962	226	49	52	0.4142	0	14.86
ceod003187	0.9168	2657	0.3633	16.1837	430	11	13	0.4059	0	2.66
ceod003194	9.1879	2656	0.3721	88.5542	2352	65	62	0.3757	8	7.84
ceod003265	1.0403	2632	0.3240	16.7553	441	5	22	0.3425	0	3.15
ceod003267	2.2265	2631	0.3972	24.0593	633	19	39	0.4135	0	5.62
ceod003269	5.9251	2629	0.3704	29.1366	766	63	91	0.3676	0	12.73
ceod003294	0.2927	2620	0.3374	12.5954	330	1	6	0.2221	0	0.83
ceod003296	1.5071	2617	0.3721	16.3546	428	14	26	0.3007	0	4.42
ceod003301	0.7290	2616	0.3639	10.7798	282	3	16	0.3616	0	2.24
ceod003324	0.7578	2609	0.3877	16.3281	426	7	12	0.3455	0	2.28
ceod003373	4.2189	2590	0.4162	29.3822	761	34	75	0.3943	0	11.66
ceod003414	1.6461	2577	0.4125	27.9783	721	23	19	0.4154	0	3.81
ceod003418	1.1231	2576	0.3799	21.7780	561	10	19	0.3465	0	2.76
ceod003441	0.5552	2565	0.3891	24.4444	627	1	3	0.4307	0	1.04
ceod003443	5.1583	2565	0.3961	55.3216	1419	60	68	0.4039	2	6.75
ceod003455	2.5999	2562	0.3453	17.7986	456	18	41	0.3312	0	7.27
ceod003466	1.4611	2559	0.3956	22.0399	564	13	24	0.3792	0	3.73
ceod003473	1.7982	2557	0.3821	12.5929	322	18	28	0.3134	0	5.35
ceod003512	6.7858	2544	0.4041	44.2217	1125	72	99	0.3802	0	11.39
ceod003517	1.7124	2542	0.3749	16.7191	425	11	32	0.3668	0	5.39
ceod003523	3.5207	2539	0.3620	23.3950	594	23	64	0.3003	0	10.15
ceod003542	1.8350	2534	0.4014	20.8366	528	15	31	0.3777	0	4.73
ceod003556	2.0368	2529	0.4137	35.0336	886	19	32	0.4172	0	4.09
ceod003571	2.0816	2523	0.3897	13.4364	339	22	30	0.5314	0	6.70
ceod003578	3.0893	2521	0.4016	15.4701	390	32	46	0.3507	0	10.50
ceod003580	1.4935	2521	0.4042	11.1464	281	14	24	0.4016	0	4.59
ceod003582	0.8016	2520	0.3817	16.4286	414	4	16	0.3318	0	2.50
ceod003585	6.8540	2520	0.3831	39.8413	1004	52	119	0.3626	0	14.79
ceod003599	6.3312	2515	0.3523	54.7515	1377	61	97	0.3729	1	11.74
