ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ceod000050	0.0000	8118	0.4114	0.0000	0	0	0	0.0000	-1	0.00
ceod000075	0.0000	7449	0.3946	0.0000	0	0	0	0.0000	-1	0.00
ceod000084	0.0279	7249	0.3854	1.4209	103	0	2	0.3465	0	0.23
ceod000163	0.0633	6385	0.3649	1.7071	109	3	1	0.3663	0	0.49
ceod000194	0.0993	6100	0.3552	2.2623	138	2	4	0.3630	0	0.72
ceod000233	0.0517	5859	0.3439	1.7580	103	0	3	0.4059	0	0.39
ceod000276	0.0000	5652	0.3922	0.0000	0	0	0	0.0000	-1	0.00
ceod000295	0.0182	5560	0.3760	1.8165	101	0	1	0.3762	0	0.13
ceod000354	0.0000	5341	0.3960	0.0000	0	0	0	0.0000	-1	0.00
ceod000362	0.0569	5324	0.4040	2.0098	107	3	0	0.4752	0	0.40
ceod000387	0.0193	5240	0.3236	1.9275	101	0	1	0.4158	0	0.14
ceod000405	0.0000	5169	0.3641	0.0000	0	0	0	0.0000	-1	0.00
ceod000408	0.0000	5166	0.3906	0.0000	0	0	0	0.0000	-1	0.00
ceod000449	0.0000	5046	0.3898	0.0000	0	0	0	0.0000	-1	0.00
ceod000521	0.0416	4853	0.3841	2.0812	101	0	2	0.4455	0	0.29
ceod000537	0.0210	4803	0.4044	2.1029	101	1	0	0.4455	0	0.14
ceod000619	0.0438	4614	0.3966	2.1890	101	0	2	0.4059	0	0.29
ceod000635	0.2199	4593	0.3642	2.6998	124	6	4	0.3772	0	1.40
ceod000638	0.1541	4588	0.3933	2.6373	121	5	2	0.4781	0	0.99
ceod000661	0.0000	4536	0.3959	0.0000	0	0	0	0.0000	-1	0.00
ceod000708	0.0000	4449	0.4042	0.0000	0	0	0	0.0000	-1	0.00
ceod000727	0.0459	4403	0.4208	2.2939	101	2	0	0.4653	0	0.30
